jgd_id;jgd_old_id;jgd_tag;jgd_nome;jgd_pis_id
163;60c46a3a9fc1a47e5f11199b;Arceon;;2
164;61f916ffc437fde7e02cf097;Artix;;2
165;619e62a1143c37878b23f076;Auriginal;;2
166;61e567c1da9d7ca1c7ba5054;ballim;;2
167;61801153f8090ec74528a648;BigFootBoss26;;2
168;60c469b99fc1a47e5f111970;BiscuitGalaxy;;2
169;619e6277f8090ec74528dbfd;Blade;;2
170;61800f62143c37878b23bd08;Bonzer;;2
171;60c469f79fc1a47e5f111986;Bread;;2
172;61800fd0f8090ec74528a5f5;Bubusz;;2
173;61f916ffc437fde7e02cf099;Car;;2
174;616fe4b8143c37878b239e24;Casesleet DS;;2
175;616fe33e143c37878b239e05;Chace;;2
176;616fe461f8090ec74528873e;ChristianW;Christian Wentzel;2
177;61801185143c37878b23bd9b;Craggles;;2
178;61a4aa3a143c37878b23f556;Crisp;;2
179;61e566bada9d7ca1c7ba502f;CZ4R1C;;2
180;61731f04143c37878b23a259;D3Funct;;2
181;619e61cb143c37878b23f058;Dante17021;;2
182;61731b9b143c37878b23a1d2;dece1ver;;2
183;61f91694da9d7ca1c7ba759a;Duklaz;;2
184;61f916ffc437fde7e02cf098;Dynamo;;2
185;60bb4e1bbd0db240d7a31f8c;Echo.;;2
186;61e566bada9d7ca1c7ba5030;Eggnogg;;2
187;61731962f8090ec745288a9b;Elf;;2
188;61731f04143c37878b23a258;EliakimZA;;2
189;616fe461f8090ec74528873d;eNtiTy._;;2
190;61e56868c437fde7e02ccbf6;Erratic;;2
191;616fe33e143c37878b239e04;fearlesscarrot;;2
192;60bb4b986d9c1362119ca7fd;Friction;;2
193;616fe556f8090ec745288756;Frostyy;;2
194;61f915dfda9d7ca1c7ba755f;Galaxyyyy;;2
195;60c46a9b9fc1a47e5f1119aa;Grape;;2
196;60bb4bfa6d9c1362119ca80e;h4mburger;;2
197;616fe556f8090ec74528875a;ilycoffeee;;2
198;61ebd735c437fde7e02cd239;Impie_sappie;;2
200;60c46a74490bd8649dd30e78;Jerome in da bath;;2
201;61f914f2c437fde7e02cf01e;joosh;;2
202;616fe461f8090ec74528873f;josho;;2
203;616fe5b1143c37878b239e43;JTW;;2
204;60c46906490bd8649dd30e59;JustSpecs;;2
205;616fe5b1143c37878b239e42;JWE;;2
206;621ca5eac437fde7e02d0fd5;Kaden;;2
207;616fe4b8143c37878b239e23;Kadenp;;2
208;61731b9b143c37878b23a1d3;Kenobiwan10x_x;;2
209;61800f62143c37878b23bd0a;KneeKnow;;2
210;60bb4b986d9c1362119ca7fc;Lackstar;;2
211;616fe556f8090ec745288757;LangNEKprof;;2
212;616fe33e143c37878b239e02;li0n;;2
213;61a4aa3a143c37878b23f557;LmNs.;;2
214;61a4ad0df8090ec74528e16e;Lucid.;;2
215;616fe556f8090ec745288755;Lux27.;;2
216;617318b3143c37878b23a174;Maelstrom9508;;2
217;616fe556f8090ec745288759;Margio95;;2
218;62712fecc437fde7e02d552e;Modezy;;2
219;61800fd0f8090ec74528a5f6;MonarchMustang;;2
220;616fe33e143c37878b239e03;Mr.Low;;2
221;61801153f8090ec74528a64a;MrWacky;;2
222;61801185143c37878b23bd9d;musicmad1278;;2
223;619e61cb143c37878b23f059;night_raider554;;2
224;616fe4b8143c37878b239e25;NooitBoet;;2
225;61f915dfda9d7ca1c7ba7560;Offset;;2
226;61731698143c37878b23a134;Olympic.;;2
227;616fe3b1f8090ec745288726;PotatoWithaGun;;2
228;616fe33e143c37878b239e01;PwnFlakes;;2
229;60c46a74490bd8649dd30e79;Ram;;2
230;61f914f2c437fde7e02cf01d;Rascel;;2
231;61e5675dc437fde7e02ccbad;RhinoFury.;;2
232;616fe3b1f8090ec745288727;RichardH 04;;2
233;627131c1c437fde7e02d5570;Riscay_Rheeno;;2
234;60bb4bfa6d9c1362119ca80f;RisenEclipse;;2
235;616fe371143c37878b239e0d;Rocky;;2
236;61731f04143c37878b23a25a;Rowen;;2
