stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
83,2.0,0.63,1.27,0.4,310.44,23.37,402.5,46.43,2394.97,576.95,1537.77,320.38,857.2,256.57,18.36,3.78,62.78,17.73,1440.49,491750.54,2826.73,2758.7,2895.87,3724.77,0.76,0.93,33.89,1
84,2.62,0.77,1.61,0.48,375.05,23.02,422.06,52.5,2583.54,599.01,1738.87,363.67,844.68,235.34,20.98,4.25,74.5,20.01,1561.51,536952.9,3120.59,3032.64,3199.44,3777.01,1.14,0.94,44.38,0
85,2.0,0.44,1.44,0.5,318.67,14.07,403.56,44.89,2359.28,559.89,1588.06,333.72,771.22,226.17,18.0,3.94,66.83,19.78,1528.28,518829.56,2912.83,2852.0,2968.67,3662.28,0.5,0.89,44.82,1
86,2.09,0.52,1.09,0.83,313.57,5.8,379.7,50.69,2329.09,468.22,1561.35,276.57,767.74,191.65,19.35,3.26,68.61,17.09,1477.52,509547.96,2964.39,2887.91,3033.57,3774.7,0.57,0.43,36.74,1
87,1.94,0.74,1.05,0.59,309.82,21.75,386.65,46.31,2303.41,486.68,1567.09,273.94,736.32,212.74,18.62,3.32,61.23,17.79,1468.95,494891.55,2948.82,2884.91,2999.36,3704.36,0.82,0.71,43.31,1
88,0.33,0.33,1.67,0.0,289.33,33.33,393.67,52.47,2396.67,358.0,1749.67,192.33,647.0,165.67,20.0,2.33,59.67,15.33,1538.67,500593.0,3200.67,3123.33,3268.0,3555.67,0.0,1.67,33.33,2
89,2.27,0.91,1.73,0.18,354.0,21.06,369.45,42.96,2197.0,537.36,1355.55,287.91,841.45,249.45,15.55,3.27,72.27,20.82,1570.91,523681.09,3071.0,2957.82,3177.45,3753.36,1.27,0.82,29.09,1
90,1.81,0.57,1.19,0.69,304.95,18.93,363.83,51.3,2154.43,448.93,1416.29,264.07,738.14,184.86,17.05,3.36,64.02,16.1,1490.21,495474.81,2811.02,2709.29,2896.0,3577.02,0.52,0.69,44.22,1
91,2.08,0.54,1.32,0.3,290.54,14.31,348.62,53.28,2140.95,447.59,1417.51,268.57,723.43,179.03,17.51,3.41,62.03,14.73,1424.68,489232.05,2890.27,2791.57,2972.7,3538.59,0.59,0.89,28.04,2
92,2.25,0.81,1.27,0.41,340.3,26.38,379.43,44.38,2262.17,478.29,1368.24,251.29,893.94,227.0,16.1,2.87,78.89,20.11,1505.94,522592.98,3009.24,2948.81,3069.02,3706.46,0.68,0.92,49.6,1
93,2.57,0.86,1.5,0.61,380.75,29.22,421.21,48.07,2461.75,460.39,1725.82,280.29,735.93,180.11,21.36,3.32,51.18,12.54,1540.11,519661.39,2613.54,2484.18,2715.29,3585.11,1.11,1.25,44.13,1
94,2.29,0.71,1.5,0.48,341.82,26.04,429.59,46.08,2574.38,512.32,1832.23,325.0,742.15,187.32,20.79,3.62,63.36,15.42,1549.08,530339.89,2958.55,2903.74,2998.2,3717.74,0.5,1.03,33.34,1
95,2.45,0.86,1.25,0.51,358.28,27.57,382.44,46.11,2268.76,538.01,1422.58,291.36,846.18,246.65,16.56,3.42,72.91,21.34,1515.29,512946.98,2946.16,2848.1,3030.89,3739.78,0.93,0.96,42.44,1
96,3.0,1.11,1.44,0.44,384.33,15.66,350.67,42.85,2059.11,430.44,1332.89,228.44,726.22,202.0,15.33,2.67,62.33,17.56,1463.67,501118.44,2858.22,2864.67,2841.11,3498.67,0.33,0.44,35.19,1
97,2.35,0.84,1.16,0.51,346.93,23.18,309.93,48.91,1816.17,403.85,1111.26,198.64,704.91,205.21,13.56,2.39,59.94,17.34,1425.12,474735.06,2868.76,2760.37,2966.55,3568.62,0.54,0.84,51.26,2
98,1.73,0.13,0.87,0.33,228.0,8.0,364.6,44.57,2065.6,520.33,1265.53,310.13,800.07,210.2,14.93,3.8,62.73,16.27,1531.87,512706.93,3016.6,3000.67,3032.33,3626.47,0.47,0.73,21.56,2
99,2.19,0.53,1.22,0.5,311.13,16.0,376.7,54.57,2296.99,550.52,1416.99,301.73,880.0,248.79,17.76,3.67,77.95,21.58,1423.57,483098.46,2929.89,2883.89,2974.34,3721.53,0.51,1.01,32.56,1
100,3.23,1.0,1.36,0.84,422.73,19.97,410.74,51.57,2451.45,579.87,1738.2,343.23,713.25,236.64,20.18,4.01,61.44,20.23,1486.32,508972.32,2816.77,2695.26,2945.96,3673.61,0.77,0.96,48.98,0
101,2.25,0.62,1.25,0.75,331.06,18.75,316.69,45.22,1944.38,369.06,1285.62,164.75,658.75,204.31,15.5,2.06,57.62,17.62,1504.81,512682.19,2860.62,2762.75,2954.81,3502.88,0.38,0.62,57.54,2
102,2.26,0.66,1.17,0.63,318.93,21.63,386.59,47.54,2330.91,488.7,1601.2,276.2,729.71,212.5,18.47,3.26,60.72,17.1,1500.12,516522.14,2978.44,2928.92,3029.55,3767.93,0.79,0.93,41.63,1
103,2.33,0.65,0.91,0.53,312.42,16.28,329.56,51.96,1995.49,484.49,1209.26,233.47,786.23,251.02,16.12,3.09,67.74,21.47,1521.95,510363.51,2817.77,2741.72,2895.6,3554.42,0.58,0.98,40.1,1
104,1.92,0.6,1.08,0.26,255.04,23.63,259.24,54.02,1696.0,447.96,1025.48,245.24,670.52,202.72,13.44,3.36,57.08,16.52,1366.14,475865.7,2986.02,2898.36,3053.94,3693.22,0.38,0.54,45.2,2
105,2.0,0.56,0.89,0.67,311.78,22.96,417.11,51.04,2550.56,676.44,1752.11,439.67,798.44,236.78,21.0,5.33,68.89,19.44,1517.67,520383.67,3141.22,3060.33,3219.33,3655.0,1.22,0.67,35.74,0
